,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
ID,sampleA,sampleB,log2FoldChange,pvalue,padj,Uniprot annotation,Regulation
TRINITY_DN5897_c0_g1_i4,Pol,Fer,9.336464182,1.37E-06,0.000145329,SMC3_ARATH,up
TRINITY_DN2114_c0_g1_i19,Pol,Fer,9.316291049,1.21E-06,0.00013236,MAOX_PHAVU,up
TRINITY_DN3033_c0_g1_i3,Pol,Fer,9.289628531,3.94E-07,5.37E-05,PIN3_ARATH,up
TRINITY_DN4340_c0_g1_i15,Pol,Fer,9.280801862,3.55E-07,4.94E-05,MANA1_ARATH,up
TRINITY_DN3035_c0_g1_i5,Pol,Fer,9.227739228,5.32E-07,6.85E-05,RH24_ARATH,up
TRINITY_DN4151_c0_g1_i13,Pol,Fer,9.224632035,1.02E-06,0.000117608,RMC1_MOUSE,up
TRINITY_DN2473_c0_g1_i10,Pol,Fer,9.205149609,6.27E-07,7.83E-05,FRS6_ARATH,up
TRINITY_DN6470_c0_g1_i5,Pol,Fer,9.195218902,5.67E-07,7.19E-05,TBCD_ARATH,up
TRINITY_DN35363_c0_g1_i1,Pol,Fer,9.19447944,7.93E-07,9.61E-05,SBT4_LOTJA,up
TRINITY_DN7565_c0_g1_i3,Pol,Fer,9.1807769,6.34E-07,7.90E-05,NAA15_ARATH,up
TRINITY_DN9763_c0_g1_i4,Pol,Fer,9.175391233,1.89E-05,0.00102061,TENAC_ARATH,up
TRINITY_DN11464_c1_g1_i6,Pol,Fer,9.168996869,8.79E-07,0.000105089,ASOL_BRANA,up
TRINITY_DN4650_c0_g1_i10,Pol,Fer,9.163181415,2.50E-05,0.001268998,PMTH_ARATH,up
TRINITY_DN5897_c0_g1_i9,Pol,Fer,9.162181811,1.22E-06,0.000132924,SMC3_ARATH,up
TRINITY_DN13143_c0_g1_i26,Pol,Fer,9.148529394,6.77E-07,8.37E-05,FPP4_ARATH,up
TRINITY_DN3438_c0_g1_i5,Pol,Fer,9.146765362,3.62E-06,0.000306256,TRM11_CHICK,up
TRINITY_DN665_c0_g1_i10,Pol,Fer,9.142347579,8.85E-06,0.000597565,FPP4_ARATH,up
TRINITY_DN320_c1_g1_i3,Pol,Fer,9.13784563,7.12E-07,8.72E-05,MYB05_ANTMA,up
TRINITY_DN369_c0_g1_i5,Pol,Fer,9.128381963,5.95E-06,0.000440384,SFSWA_HUMAN,up
TRINITY_DN7517_c0_g1_i3,Pol,Fer,9.120829561,2.25E-06,0.000210934,CKX4_ORYSJ,up
TRINITY_DN141_c0_g1_i5,Pol,Fer,9.109891848,7.72E-07,9.39E-05,CDC73_ARATH,up
TRINITY_DN7588_c0_g1_i12,Pol,Fer,9.097784972,3.55E-06,0.000302104,IF4E1_WHEAT,up
TRINITY_DN2209_c0_g1_i13,Pol,Fer,9.095761217,1.44E-06,0.000150667,GRIP_ARATH,up
TRINITY_DN9435_c0_g1_i23,Pol,Fer,9.095196974,9.50E-07,0.000111298,SUVR4_ARATH,up
TRINITY_DN2663_c0_g1_i12,Pol,Fer,9.088930237,9.90E-06,0.000651262,BH130_ARATH,up
TRINITY_DN1664_c0_g1_i17,Pol,Fer,9.085796574,9.77E-07,0.000113315,AMO2_ARTS1,up
TRINITY_DN3120_c0_g1_i98,Pol,Fer,9.084238669,1.81E-06,0.000179297,AFC2_ARATH,up
TRINITY_DN2465_c0_g1_i1,Pol,Fer,9.084147256,1.65E-06,0.000166282,YITV_BACSU,up
TRINITY_DN4046_c0_g1_i4,Pol,Fer,9.075827531,9.60E-06,0.000640492,PPCE_HUMAN,up
TRINITY_DN6910_c0_g1_i2,Pol,Fer,9.075054039,1.01E-06,0.000116438,Y6944_ORYSJ,up
TRINITY_DN1516_c0_g1_i5,Pol,Fer,9.070795956,1.40E-06,0.000146991,IPO9_MOUSE,up
TRINITY_DN3350_c0_g1_i2,Pol,Fer,9.064454374,1.14E-06,0.000127157,CSC1_ARATH,up
TRINITY_DN4104_c0_g1_i7,Pol,Fer,9.062129309,1.02E-06,0.000117164,KANL3_DANRE,up
TRINITY_DN5877_c0_g1_i1,Pol,Fer,9.059520836,3.20E-06,0.000280326,ALA3_ARATH,up
TRINITY_DN5663_c0_g1_i6,Pol,Fer,9.057599292,1.85E-06,0.000182071,DIR19_ARATH,up
TRINITY_DN873_c0_g1_i11,Pol,Fer,9.055377549,7.32E-06,0.000512788,PRP39_SCHPO,up
TRINITY_DN4142_c0_g1_i2,Pol,Fer,9.055250085,1.60E-06,0.000162774,Y4407_SELML,up
TRINITY_DN2896_c0_g1_i15,Pol,Fer,9.054749054,1.16E-06,0.000127778,AGO4A_ORYSJ,up
TRINITY_DN6006_c0_g1_i1,Pol,Fer,9.045901289,1.63E-05,0.000915603,SEOB_ARATH,up
TRINITY_DN165_c0_g1_i6,Pol,Fer,9.039693,1.07E-06,0.000121378,BH145_ARATH,up
TRINITY_DN340_c0_g1_i10,Pol,Fer,9.038716831,1.14E-06,0.000126776,PUM2_ARATH,up
TRINITY_DN1353_c0_g1_i149,Pol,Fer,9.022188835,8.52E-06,0.000579552,SIK1_ORYSJ,up
TRINITY_DN5574_c0_g1_i19,Pol,Fer,9.008289854,3.00E-06,0.0002668,IP5P3_ARATH,up
TRINITY_DN3568_c0_g1_i10,Pol,Fer,8.994757906,1.30E-06,0.000139845,PP330_ARATH,up
TRINITY_DN8650_c0_g1_i2,Pol,Fer,8.987902445,5.24E-05,0.00223437,CCAMK_LOTJA,up
TRINITY_DN4401_c0_g1_i2,Pol,Fer,8.982205215,1.37E-06,0.000145329,PHL11_ARATH,up
TRINITY_DN2405_c0_g1_i30,Pol,Fer,8.9814163,1.50E-06,0.000155752,SKIP6_ARATH,up
TRINITY_DN17722_c0_g1_i6,Pol,Fer,8.980252598,4.72E-06,0.000367162,CALS9_ARATH,up
TRINITY_DN2722_c0_g1_i19,Pol,Fer,8.971243663,1.59E-06,0.000162276,SUF4_ARATH,up
TRINITY_DN5257_c0_g1_i3,Pol,Fer,8.965313781,2.12E-06,0.000200931,NRDC_ARATH,up
TRINITY_DN3986_c0_g1_i6,Pol,Fer,8.944245648,5.57E-06,0.000418648,GLGL1_BETVU,up
TRINITY_DN5304_c0_g1_i18,Pol,Fer,8.931439648,2.42E-06,0.000224051,SUT41_ARATH,up
TRINITY_DN2878_c0_g1_i1,Pol,Fer,8.931103456,1.98E-06,0.000190408,4CLL6_ARATH,up
TRINITY_DN1867_c0_g1_i31,Pol,Fer,8.930385826,1.71E-05,0.000951156,OFUT7_ARATH,up
TRINITY_DN806_c0_g1_i7,Pol,Fer,8.923500495,1.85E-06,0.000182071,Y1765_ARATH,up
TRINITY_DN411_c0_g1_i2,Pol,Fer,8.918529617,3.28E-06,0.000284503,CRWN4_ARATH,up
TRINITY_DN1528_c0_g1_i3,Pol,Fer,8.914565748,1.86E-06,0.000182071,BAZ1A_HUMAN,up
TRINITY_DN1330_c0_g1_i3,Pol,Fer,8.908403835,6.18E-06,0.000452846,ANL2_ARATH,up
TRINITY_DN822_c0_g1_i2,Pol,Fer,8.901838744,7.69E-06,0.000532274,HT1_ARATH,up
TRINITY_DN5888_c0_g1_i17,Pol,Fer,8.891908855,4.51E-06,0.000356079,AB25G_ARATH,up
TRINITY_DN4602_c0_g1_i3,Pol,Fer,8.885766151,7.13E-05,0.002789513,GPI8_DROME,up
TRINITY_DN437_c0_g1_i10,Pol,Fer,8.874007534,2.23E-06,0.000209481,PSMD3_TOBAC,up
TRINITY_DN6514_c0_g1_i4,Pol,Fer,8.865980568,2.34E-06,0.000219212,GFT1_ARATH,up
TRINITY_DN1353_c0_g1_i131,Pol,Fer,8.863008176,4.30E-06,0.000346229,SIK1_ORYSJ,up
TRINITY_DN1379_c0_g1_i1,Pol,Fer,8.850027451,3.19E-06,0.000280326,JMJ30_ARATH,up
TRINITY_DN6348_c0_g1_i3,Pol,Fer,8.846172028,4.23E-05,0.001896422,YBEG_SCHPO,up
TRINITY_DN2727_c0_g1_i71,Pol,Fer,8.841542753,1.20E-05,0.000755118,MENE_ARATH,up
TRINITY_DN7683_c0_g1_i1,Pol,Fer,8.833516521,4.90E-05,0.002138136,ILI5_ORYSJ,up
TRINITY_DN5857_c0_g1_i24,Pol,Fer,8.829144753,3.88E-06,0.000322126,UBP15_ARATH,up
TRINITY_DN584_c0_g1_i2,Pol,Fer,8.826936837,6.52E-05,0.002617171,ARFG_ORYSJ,up
TRINITY_DN9248_c0_g1_i45,Pol,Fer,8.820593867,1.89E-05,0.00102061,Y2296_ARATH,up
TRINITY_DN6535_c0_g1_i22,Pol,Fer,8.81734489,3.24E-06,0.00028226,IDHC_TOBAC,up
TRINITY_DN917_c0_g1_i8,Pol,Fer,8.817278062,1.43E-05,0.000835198,SBT38_ARATH,up
TRINITY_DN9885_c0_g2_i3,Pol,Fer,8.809296357,2.47E-05,0.001254637,GRF1_ORYSJ,up
TRINITY_DN3362_c0_g1_i2,Pol,Fer,8.805487879,7.04E-06,0.000497532,C3H6_ARATH,up
TRINITY_DN7583_c0_g1_i3,Pol,Fer,8.800432603,9.81E-06,0.000647677,ICR2_ARATH,up
TRINITY_DN6524_c0_g1_i6,Pol,Fer,8.794686398,3.40E-06,0.000292638,HAK9_ORYSJ,up
TRINITY_DN1464_c0_g1_i4,Pol,Fer,8.793537679,3.22E-06,0.000281178,SUGP1_ARATH,up
TRINITY_DN357_c0_g1_i26,Pol,Fer,8.7880299,5.56E-06,0.000418581,ACS_ARATH,up
TRINITY_DN141_c0_g1_i1,Pol,Fer,8.780387174,5.29E-06,0.000403478,CDC73_ARATH,up
TRINITY_DN2087_c0_g1_i25,Pol,Fer,8.777547675,3.73E-05,0.00171776,ALA1_ARATH,up
TRINITY_DN5577_c0_g1_i17,Pol,Fer,8.769149985,8.76E-06,0.000592624,AMPD_ARATH,up
TRINITY_DN2734_c0_g1_i8,Pol,Fer,8.766487557,3.93E-06,0.000323884,CLCF_ARATH,up
TRINITY_DN820_c0_g1_i4,Pol,Fer,8.760847276,1.40E-05,0.000831243,SBT_MEDTR,up
TRINITY_DN3944_c0_g1_i3,Pol,Fer,8.75723988,8.61E-06,0.000584595,MA652_ARATH,up
TRINITY_DN10276_c0_g1_i18,Pol,Fer,8.756360899,4.30E-06,0.000346229,APC2_ARATH,up
TRINITY_DN5768_c0_g1_i1,Pol,Fer,8.754936455,4.71E-06,0.000367162,RNL_ARATH,up
TRINITY_DN4418_c0_g1_i2,Pol,Fer,8.750067435,1.21E-05,0.000758416,YHLA_SCHPO,up
TRINITY_DN2114_c0_g1_i26,Pol,Fer,8.749747015,8.20E-05,0.003066589,MAOX_PHAVU,up
TRINITY_DN7263_c0_g1_i12,Pol,Fer,8.74581775,4.55E-06,0.000358199,GAGT1_ARATH,up
TRINITY_DN11112_c0_g1_i2,Pol,Fer,8.736090934,4.11E-06,0.000335791,MST8_ORYSJ,up
TRINITY_DN1220_c0_g1_i4,Pol,Fer,8.734209711,4.31E-06,0.000346229,RVE8_ARATH,up
TRINITY_DN918_c0_g1_i10,Pol,Fer,8.734090984,2.75E-05,0.001354154,LHT1_ARATH,up
TRINITY_DN6864_c0_g1_i1,Pol,Fer,8.729922142,7.33E-06,0.000512788,SC31B_ARATH,up
TRINITY_DN7121_c0_g1_i14,Pol,Fer,8.727908381,4.76E-06,0.000369659,SECA2_ARATH,up
TRINITY_DN12594_c1_g2_i3,Pol,Fer,8.712685135,5.78E-06,0.000429494,Y1666_ARATH,up
TRINITY_DN3502_c0_g1_i8,Pol,Fer,8.70752011,1.11E-10,5.23E-08,GUN17_ARATH,up
